Metro Station Name _ RUS,Metro Station Name
Могилёвская,Mahilyowskaya
Площадь Ленина,Ploshcha Lyenina
Пролетарская,Pralyetarskaya
Тракторный завод,Traktarny zavod
Первомайская,Pyershamayskaya
Партизанская,Partyzanskaya
Петровщина,Pyatrowshchyna
Грушевка,Hrushawka
Михалово,Mikhalova
Малиновка,Malinawka
Пушкинская,Pushkinskaya
Институт культуры,Instytut Kultury
Московская,Maskowskaya
Автозаводская,Awtazavodskaya
Восток,Uskhod
Борисовский тракт,Barysawski trakt
Уручье,Uruchcha
Парк Челюскинцев,Park Chalyuskintsaw
Академия наук,Akademiya Navuk
Площадь Якуба Коласа,Ploshcha Yakuba Kolasa
Площадь Победы,Ploshcha Pyeramohi
Кунцевщина,Kuntsawshchyna
Спортивная,Spartywnaya
Каменная горка,Kamyennaya Horka
Молодёжная,Maladzyozhnaya
Фрунзенская,Frunzyenskaya
Купаловская,Kupalawskaya
Немига,Niamiha
